datetime,price,quantity,venue
2020-07-01 04:00:00:072,364.11,2,ARCX
2020-07-01 04:00:15:506,364.21,1,ARCX
2020-07-01 04:00:15:506,364.99,9,ARCX
2020-07-01 04:00:41:064,364.14,200,ARCX
2020-07-01 04:00:58:504,364.11,36,ARCX
2020-07-01 04:00:58:504,364.02,1,ARCX
2020-07-01 04:00:58:504,364.02,48,ARCX
2020-07-01 04:00:58:504,364.01,115,ARCX
2020-07-01 04:01:17:597,364.31,1,XNGS
2020-07-01 04:01:17:597,364.58,3,XNGS
2020-07-01 04:01:20:364,364.01,100,ARCX
2020-07-01 04:01:28:978,364.21,1,XNGS
2020-07-01 04:03:15:280,364.11,1,XNGS
2020-07-01 04:03:15:280,364.02,80,XNGS
2020-07-01 04:03:15:280,364.01,7,XNGS
2020-07-01 04:03:15:280,364.01,9,XNGS
2020-07-01 04:03:15:280,364.01,3,XNGS
2020-07-01 04:04:39:541,364.43,10,ARCX
2020-07-01 04:04:40:121,364.04,3,ARCX
2020-07-01 04:04:40:121,364.01,1,ARCX
2020-07-01 04:04:40:121,364.01,96,ARCX
2020-07-01 04:05:11:984,364.43,4,ARCX
2020-07-01 04:05:11:984,364.43,86,ARCX
2020-07-01 04:05:11:984,364.5,10,ARCX
2020-07-01 04:05:22:339,364.21,3,XNGS
2020-07-01 04:05:22:339,364.21,1,XNGS
2020-07-01 04:05:30:771,364.47,99,ARCX
2020-07-01 04:05:30:771,364.49,1,ARCX
2020-07-01 04:05:32:841,364.49,3,ARCX
2020-07-01 04:05:32:841,364.5,90,ARCX
2020-07-01 04:05:42:546,364.31,1,XNGS
2020-07-01 04:05:47:292,364.5,1,ARCX
2020-07-01 04:06:02:427,364.41,1,XNGS
2020-07-01 04:06:06:571,364.5,1,ARCX
2020-07-01 04:06:41:079,364.51,1,XNGS
2020-07-01 04:06:41:079,364.78,14,XNGS
2020-07-01 04:07:09:628,364.61,1,XNGS
2020-07-01 04:09:21:621,364.5,5,ARCX
2020-07-01 04:09:21:621,364.22,5,ARCX
2020-07-01 04:09:31:546,364.61,5,XNGS
2020-07-01 04:09:33:946,364.61,14,XNGS
2020-07-01 04:09:33:946,364.61,1,XNGS
2020-07-01 04:09:38:436,364.61,16,XNGS
2020-07-01 04:12:23:213,364.71,1,XNGS
2020-07-01 04:12:23:213,364.72,2,XNGS
2020-07-01 04:12:26:384,364.46,1,ARCX
2020-07-01 04:12:30:193,364.46,50,ARCX
2020-07-01 04:12:32:075,364.46,31,ARCX
